,FIELD,CODE,TICKER
749,RI,AGGP,U:AGGP
750,RI,AGGY,U:AGGY
751,RI,AGZD,@AGZD
752,RI,AIEQ,U:AIEQ
753,RI,AIIQ,U:AIIQ
754,RI,AIRR,@AIRR
755,RI,ALFA,U:ALFA
756,RI,ALTL,U:ALTL
757,RI,ALTS,U:ALTS
758,RI,ALTY,@ALTY
759,RI,AMCA,@AMCA
760,RI,AMER,U:AMER
761,RI,AMLP,U:AMLP
762,RI,AMNA,U:AMNA
763,RI,AMND,U:AMND
764,RI,AMOM,U:AMOM
765,RI,AMTR,U:AMTR
766,RI,AMUB,U:AMUB
767,RI,AMZA,U:AMZA
768,RI,ANEW,U:ANEW
769,RI,ANGL,@ANGL
770,RI,ARCM,U:ARCM
771,RI,ARGT,U:ARGT
772,RI,ARKF,U:ARKF
773,RI,ARKG,U:ARKG
774,RI,ARKK,U:ARKK
775,RI,ARKQ,U:ARKQ
776,RI,ARKW,U:ARKW
777,RI,ARMR,U:ARMR
778,RI,ASEA,U:ASEA
779,RI,ASET,@ASET
780,RI,ASHR,U:ASHR
781,RI,ASHS,U:ASHS
782,RI,ASHX,U:ASHX
783,RI,ATMP,U:ATMP
784,RI,AUGZ,U:AUGZ
785,RI,AUSF,U:AUSF
786,RI,AVDE,U:AVDE
787,RI,AVDV,U:AVDV
788,RI,AVEM,U:AVEM
789,RI,AVIG,U:AVIG
790,RI,AVSF,U:AVSF
791,RI,AVUS,U:AVUS
792,RI,AVUV,U:AVUV
793,RI,AWAY,U:AWAY
794,RI,AWTM,U:AWTM
795,RI,AZAA,U:AZAA
796,RI,AZAL,U:AZAL
797,RI,AZAO,U:AZAO
798,RI,AZBA,U:AZBA
799,RI,AZBL,U:AZBL
800,RI,AZBO,U:AZBO
801,RI,BAPR,U:BAPR
802,RI,BATT,U:BATT
803,RI,BAUG,U:BAUG
804,RI,BBAX,U:BBAX
805,RI,BBCA,U:BBCA
806,RI,BBEU,U:BBEU
807,RI,BBIN,U:BBIN
808,RI,BBJP,U:BBJP
809,RI,BBMC,U:BBMC
810,RI,BBRE,U:BBRE
811,RI,BBSA,U:BBSA
812,RI,BBUS,U:BBUS
813,RI,BDCS,U:BDCS
814,RI,BDCX,U:BDCX
815,RI,BDCY,U:BDCY
816,RI,BDCZ,U:BDCZ
817,RI,BDEC,U:BDEC
818,RI,BDRY,U:BDRY
819,RI,BETZ,U:BETZ
820,RI,BFEB,U:BFEB
821,RI,BFIT,@BFIT
822,RI,BFOR,U:BFOR
823,RI,BFTR,U:BFTR
824,RI,BGRN,@BGRN
825,RI,BIBL,U:BIBL
826,RI,BICK,@BICK
827,RI,BILS,U:BILS
828,RI,BIZD,U:BIZD
829,RI,BJAN,U:BJAN
830,RI,BJUL,U:BJUL
831,RI,BJUN,U:BJUN
832,RI,BKAG,U:BKAG
833,RI,BKEM,U:BKEM
834,RI,BKHY,U:BKHY
835,RI,BKIE,U:BKIE
836,RI,BKLC,U:BKLC
837,RI,BKLN,U:BKLN
838,RI,BKMC,U:BKMC
839,RI,BKSB,U:BKSB
840,RI,BKSE,U:BKSE
841,RI,BLCN,@BLCN
842,RI,BLDG,U:BLDG
843,RI,BLES,U:BLES
844,RI,BLHY,U:BLHY
845,RI,BLOK,U:BLOK
846,RI,BMAR,U:BMAR
847,RI,BMAY,U:BMAY
848,RI,BMED,U:BMED
849,RI,BMLP,@BMLP
850,RI,BNDC,U:BNDC
